# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
dnf ansible.builtin.dnf
dnf_versionlock community.general.dnf_versionlock
dnsimple community.general.dnsimple
dnsimple_info community.general.dnsimple_info
dnsmadeeasy community.general.dnsmadeeasy
docker_container community.docker.docker_container
docker_container_copy_into community.docker.docker_container_copy_into
docker_container_exec community.docker.docker_container_exec
docker_container_info community.docker.docker_container_info
docker_host_info community.docker.docker_host_info
docker_image community.docker.docker_image
docker_image_info community.docker.docker_image_info
docker_image_load community.docker.docker_image_load
docker_login community.docker.docker_login
docker_network community.docker.docker_network
docker_network_info community.docker.docker_network_info
docker_plugin community.docker.docker_plugin
docker_prune community.docker.docker_prune
docker_volume community.docker.docker_volume
docker_volume_info community.docker.docker_volume_info
docker_compose community.docker.docker_compose
docker_config community.docker.docker_config
docker_node community.docker.docker_node
docker_node_info community.docker.docker_node_info
docker_secret community.docker.docker_secret
docker_swarm community.docker.docker_swarm
docker_swarm_info community.docker.docker_swarm_info
docker_swarm_service community.docker.docker_swarm_service
docker_swarm_service_info community.docker.docker_swarm_service_info
docker_stack community.docker.docker_stack
docker_stack_info community.docker.docker_stack_info
docker_stack_task_info community.docker.docker_stack_task_info
dpkg_divert community.general.dpkg_divert
dpkg_selections ansible.builtin.dpkg_selections
easy_install community.general.easy_install
ecs_certificate community.crypto.ecs_certificate
ecs_domain community.crypto.ecs_domain
ejabberd_user community.general.ejabberd_user
elasticsearch_plugin community.general.elasticsearch_plugin
emc_vnx_sg_member community.general.emc_vnx_sg_member
etcd3 community.general.etcd3
expect ansible.builtin.expect
fact_diff ansible.utils.fact_diff
facter community.general.facter
fail ansible.builtin.fail
fetch ansible.builtin.fetch
file ansible.builtin.file
filesize community.general.filesize
filesystem community.general.filesystem
find ansible.builtin.find
firewalld ansible.posix.firewalld
firewalld_info ansible.posix.firewalld_info
flatpak community.general.flatpak
flatpak_remote community.general.flatpak_remote
flowdock community.general.flowdock
gandi_livedns community.general.gandi_livedns
gather_facts ansible.builtin.gather_facts
gconftool2 community.general.gconftool2
gem community.general.gem
get_certificate community.crypto.get_certificate
get_url ansible.builtin.get_url
getent ansible.builtin.getent
git ansible.builtin.git
git_config community.general.git_config
github_deploy_key community.general.github_deploy_key
github_issue community.general.github_issue
github_key community.general.github_key
github_release community.general.github_release
github_repo community.general.github_repo
github_webhook community.general.github_webhook
github_webhook_info community.general.github_webhook_info
gitlab_branch community.general.gitlab_branch
gitlab_deploy_key community.general.gitlab_deploy_key
gitlab_group community.general.gitlab_group
gitlab_group_members community.general.gitlab_group_members
gitlab_group_variable community.general.gitlab_group_variable
gitlab_hook community.general.gitlab_hook
gitlab_project community.general.gitlab_project
gitlab_project_members community.general.gitlab_project_members
gitlab_project_variable community.general.gitlab_project_variable
gitlab_protected_branch community.general.gitlab_protected_branch
